,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Item Name,,Quantity,,Location,,Description and Other Information,,,,
,,,,,,,,,,,
Drawer 1,SPST,,,,"D1, L4 L",,,,,,
,8 Pin Dip Switch,,,,"D1, L4 L",,,,,,
,8MHZ Crystal,,,,"D1, L4 L",,,,,,
`,NRF24L01,,,,"D1, L4 L",,,,,,
,CMUcam4,,,,"D1, L4 L",,,,,,
,DC Barrel Jack,,,,"D1, L4 L",,,,,,
,8 Pin LED Bar,,,,"D1, L4 L",,,,,,
,...,,,,"D1, L4 L",,,,,,
,...,,,,"D1, L4 L",,,,,,
,Mini B Female,,,,"D1, L4 L",,,,,,
,Solder Paste Spreader,,,,"D1, L4 L",,,,,,
,Money,,,,"D1, L4 L",,,,,,
,Shunt Jumper,,,,"D1, L4 L",,,,,,
,HW 123 ACCELL/GYRO,,,,"D1, L4 L",,,,,,
,RGB Sensor,,,,"D1, L4 L",,,,,,
,Blank PCB,,,,"D1, L4 L",,,,,,
,Solder Paste Stencil,,,,"D1, L4 L",,,,,,
,,,,,,,,,,,
Drawer 2,,,,,,,,,,,
,Blank PCB,,,,"D2, L4 C",,,,,,
,WW Socket,,,,"D2, L4 C",,,,,,
,DRAM 41/53464-80,,,,"D2, L4 C",,,,,,
,MAX 232/233,,,,"D2, L4 C",,,,,,
,5mm IR Reciever,,,,"D2, L4 C",,,,,,
,MC6802L,,,,"D2, L4 C",,,,,,
,Analog Multiplexr DG506ACJ,,,,"D2, L4 C",,,,,,
,3-8MUX 74HC138 Overflow,,,,"D2, L4 C",,,,,,
,ATMEGA328P,,,,"D2, L4 C",,,,,,
,HR SRO4 ultrasonic sensor,,,,"D2, L4 C",,,,,,
,AT90USB1286,,,,"D2, L4 C",,,,,,
,Octocoupler MCA130,,,,"D2, L4 C",,,,,,
,ATMEGA48PB,,,,"D2, L4 C",,,,,,
,...,,,,"D2, L4 C",,,,,,
,...,,,,"D2, L4 C",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Drawer 3,,,,,,,,,,,
,NPN MOSFET,,,,"D3, L4 R",,,,,,
,RES SMD,,,,"D3, L4 R",,,,,,
,Res 22 Ohm,,,,"D3, L4 R",,,,,,
,CAP CER,,,,"D3, L4 R",,,,,,
,...,,,,"D3, L4 R",,,,,,
